# P(Pa)  T_true(K)  T_retrieved(K)
1.179678e-01 1229.1432 1229.1159
1.603603e-01 1229.1014 1229.0741
2.179868e-01 1229.0446 1229.0172
2.963218e-01 1228.9673 1228.9399
4.028069e-01 1228.8623 1228.8349
5.475581e-01 1228.7196 1228.6922
7.443266e-01 1228.5256 1228.4982
1.011805e+00 1228.2621 1228.2346
1.375404e+00 1227.9040 1227.8765
1.869664e+00 1227.4176 1227.3901
2.541540e+00 1226.7571 1226.7295
3.454858e+00 1225.8603 1225.8326
4.696383e+00 1224.6434 1224.6157
6.384059e+00 1222.9933 1222.9654
8.678211e+00 1220.7575 1220.7294
1.179678e+01 1217.7319 1217.7036
1.603603e+01 1213.6442 1213.6155
2.179868e+01 1208.1338 1208.1046
2.963218e+01 1200.7287 1200.6988
4.028069e+01 1190.8198 1190.7889
5.475581e+01 1177.6392 1177.6070
7.443266e+01 1160.2530 1160.2189
1.011805e+02 1137.5902 1137.5534
1.375404e+02 1108.5526 1108.5120
1.869664e+02 1072.2783 1072.2321
2.541540e+02 1028.6701 1028.6156
3.454858e+02 979.2886 979.2222
4.696383e+02 928.4516 928.3685
6.384059e+02 883.4767 883.3721
8.678211e+02 851.8847 851.7555
1.179678e+03 835.8148 835.6603
1.603603e+03 830.4338 830.2515
2.179868e+03 829.3927 829.1759
2.963218e+03 829.3381 829.0754
4.028069e+03 829.4110 829.0858
5.475581e+03 829.5164 829.1066
7.443266e+03 829.6598 829.1349
1.011805e+04 829.8546 829.1733
1.375404e+04 830.1192 829.2256
1.869664e+04 830.4784 829.2966
2.541540e+04 830.9660 829.3931
3.454858e+04 831.6274 829.5243
4.696383e+04 832.5240 829.7024
6.384059e+04 833.7382 829.9444
8.678211e+04 835.3803 830.2731
1.179678e+05 837.5970 830.7192
1.603603e+05 840.5824 831.3245
2.179868e+05 844.5902 832.1452
2.963218e+05 849.9484 833.2569
4.028069e+05 857.0735 834.7610
5.475581e+05 866.4828 836.7927
7.443266e+05 878.8014 839.5310
1.011805e+06 894.7580 843.2109
1.375404e+06 915.1665 848.1372
1.869664e+06 940.8897 854.6991
2.541540e+06 972.7893 863.3836
3.454858e+06 1011.6717 874.7842
4.696383e+06 1058.2415 889.6006
6.384059e+06 1113.0776 908.6249
8.678211e+06 1176.6355 932.7100
