# freq_hz  Z_real  Z_imag  error
1.000000e-02 2.826073e-03 2.517153e-03 5.000000e-02
1.467799e-02 3.452946e-03 2.998039e-03 5.000000e-02
2.154435e-02 4.113681e-03 3.495348e-03 5.000000e-02
3.162278e-02 4.587659e-03 3.753245e-03 5.000000e-02
4.641589e-02 5.887773e-03 4.589364e-03 5.000000e-02
6.812921e-02 7.093967e-03 5.359206e-03 5.000000e-02
1.000000e-01 8.619116e-03 6.176563e-03 5.000000e-02
1.467799e-01 9.358562e-03 6.546505e-03 5.000000e-02
2.154435e-01 1.120156e-02 7.275454e-03 5.000000e-02
3.162278e-01 1.329356e-02 8.432909e-03 5.000000e-02
4.641589e-01 1.707072e-02 1.032238e-02 5.000000e-02
6.812921e-01 1.999497e-02 1.149040e-02 5.000000e-02
1.000000e+00 2.352383e-02 1.266731e-02 5.000000e-02
1.467799e+00 2.880523e-02 1.541112e-02 5.000000e-02
2.154435e+00 3.506957e-02 1.916617e-02 5.000000e-02
3.162278e+00 4.134175e-02 2.365677e-02 5.000000e-02
4.641589e+00 4.886959e-02 3.001021e-02 5.000000e-02
6.812921e+00 5.617399e-02 3.914956e-02 5.000000e-02
1.000000e+01 6.595441e-02 5.196713e-02 5.000000e-02
1.467799e+01 7.909846e-02 6.962010e-02 5.000000e-02
2.154435e+01 9.467999e-02 8.958473e-02 5.000000e-02
3.162278e+01 1.072611e-01 1.037549e-01 5.000000e-02
4.641589e+01 1.333778e-01 1.333162e-01 5.000000e-02
6.812921e+01 1.681315e-01 1.666247e-01 5.000000e-02
1.000000e+02 2.078071e-01 2.068672e-01 5.000000e-02
