# Alpha   Omega_r   Omega_i   Label
5.00000000e-02 -6.24024527e+03 2.14050565e+03 mode_0
7.58620690e-02 -4.11273624e+03 1.41077787e+03 mode_1
1.01724138e-01 -3.06701728e+03 1.05209482e+03 mode_2
1.27586207e-01 -2.44524308e+03 8.38821194e+02 mode_3
1.53448276e-01 -2.03305954e+03 6.97435376e+02 mode_4
1.79310345e-01 -1.73977841e+03 5.96832063e+02 mode_5
2.05172414e-01 -1.52043658e+03 5.21589300e+02 mode_6
2.31034483e-01 -1.35020369e+03 4.63190484e+02 mode_7
2.56896552e-01 -1.21424818e+03 4.16548514e+02 mode_8
2.82758621e-01 -1.10316468e+03 3.78437431e+02 mode_9
3.08620690e-01 -1.01070044e+03 3.46712595e+02 mode_10
3.34482759e-01 -9.32536564e+02 3.19892663e+02 mode_11
3.60344828e-01 -8.65594026e+02 2.96921552e+02 mode_12
3.86206897e-01 -8.07618538e+02 2.77026062e+02 mode_13
4.12068966e-01 -7.56921744e+02 2.59627104e+02 mode_14
4.37931034e-01 -7.12214112e+02 2.44282375e+02 mode_15
4.63793103e-01 -6.72493736e+02 2.30648232e+02 mode_16
4.89655172e-01 -6.36970383e+02 2.18453633e+02 mode_17
5.15517241e-01 -6.05012394e+02 2.07481923e+02 mode_18
5.41379310e-01 -5.76108808e+02 1.97557847e+02 mode_19
5.67241379e-01 -5.49841850e+02 1.88538111e+02 mode_20
5.93103448e-01 -5.25866613e+02 1.80304416e+02 mode_21
6.18965517e-01 -5.03895832e+02 1.72758232e+02 mode_22
6.44827586e-01 -4.83688331e+02 1.65816838e+02 mode_23
6.70689655e-01 -4.65040130e+02 1.59410270e+02 mode_24
6.96551724e-01 -4.47777545e+02 1.53478956e+02 mode_25
7.22413793e-01 -4.31751763e+02 1.47971855e+02 mode_26
7.48275862e-01 -4.16834544e+02 1.42844982e+02 mode_27
7.74137931e-01 -4.02914784e+02 1.38060227e+02 mode_28
8.00000000e-01 -3.89895748e+02 1.33584414e+02 mode_29
