# Eta Temperature_ratio
0.0000000000e+00 6.0000000000e-01
6.0301507538e-02 6.0000187624e-01
1.2060301508e-01 6.0000234539e-01
1.8090452261e-01 6.0000255386e-01
2.4120603015e-01 6.0000267107e-01
3.0150753769e-01 6.0000274604e-01
3.6180904523e-01 6.0000279804e-01
4.2211055276e-01 6.0000283619e-01
4.8241206030e-01 6.0000286534e-01
5.4271356784e-01 6.0000288832e-01
6.0301507538e-01 6.0000290687e-01
6.6331658291e-01 6.0000292214e-01
7.2361809045e-01 6.0000293492e-01
7.8391959799e-01 6.0000294575e-01
8.4422110553e-01 6.0000295502e-01
9.0452261307e-01 6.0000296305e-01
9.6482412060e-01 6.0000297004e-01
1.0251256281e+00 6.0000297617e-01
1.0854271357e+00 6.0000298159e-01
1.1457286432e+00 6.0000298639e-01
1.2060301508e+00 6.0000299067e-01
1.2663316583e+00 6.0000299450e-01
1.3266331658e+00 6.0000299793e-01
1.3869346734e+00 6.0000300101e-01
1.4472361809e+00 6.0000300379e-01
1.5075376884e+00 6.0000300630e-01
1.5678391960e+00 6.0000300858e-01
1.6281407035e+00 6.0000301063e-01
1.6884422111e+00 6.0000301249e-01
1.7487437186e+00 6.0000301418e-01
1.8090452261e+00 6.0000301572e-01
1.8693467337e+00 6.0000301711e-01
1.9296482412e+00 6.0000301838e-01
1.9899497487e+00 6.0000301953e-01
2.0502512563e+00 6.0000302057e-01
2.1105527638e+00 6.0000302152e-01
2.1708542714e+00 6.0000302238e-01
2.2311557789e+00 6.0000302316e-01
2.2914572864e+00 6.0000302387e-01
2.3517587940e+00 6.0000302452e-01
2.4120603015e+00 6.0000302511e-01
2.4723618090e+00 6.0000302564e-01
2.5326633166e+00 6.0000302613e-01
2.5929648241e+00 6.0000302657e-01
2.6532663317e+00 6.0000302697e-01
2.7135678392e+00 6.0000302734e-01
2.7738693467e+00 6.0000302768e-01
2.8341708543e+00 6.0000302799e-01
2.8944723618e+00 6.0000302828e-01
2.9547738693e+00 6.0000302855e-01
3.0150753769e+00 6.0000302880e-01
3.0753768844e+00 6.0000302903e-01
3.1356783920e+00 6.0000302926e-01
3.1959798995e+00 6.0000302947e-01
3.2562814070e+00 6.0000302968e-01
3.3165829146e+00 6.0000302989e-01
3.3768844221e+00 6.0000303009e-01
3.4371859296e+00 6.0000303030e-01
3.4974874372e+00 6.0000303051e-01
3.5577889447e+00 6.0000303073e-01
3.6180904523e+00 6.0000303096e-01
3.6783919598e+00 6.0000303121e-01
3.7386934673e+00 6.0000303131e-01
3.7989949749e+00 6.0000303132e-01
3.8592964824e+00 6.0000303132e-01
3.9195979899e+00 6.0000303132e-01
3.9798994975e+00 6.0000303132e-01
4.0402010050e+00 6.0000303132e-01
4.1005025126e+00 6.0000303132e-01
4.1608040201e+00 6.0000303132e-01
4.2211055276e+00 6.0000303132e-01
4.2814070352e+00 6.0000303132e-01
4.3417085427e+00 6.0000303132e-01
4.4020100503e+00 6.0000303132e-01
4.4623115578e+00 6.0000303132e-01
4.5226130653e+00 6.0000303132e-01
4.5829145729e+00 6.0000303132e-01
4.6432160804e+00 6.0000303132e-01
4.7035175879e+00 6.0000303132e-01
4.7638190955e+00 6.0000303132e-01
4.8241206030e+00 6.0000303132e-01
4.8844221106e+00 6.0000303132e-01
4.9447236181e+00 6.0000303132e-01
5.0050251256e+00 6.0000303132e-01
5.0653266332e+00 6.0000303132e-01
5.1256281407e+00 6.0000303132e-01
5.1859296482e+00 6.0000303132e-01
5.2462311558e+00 6.0000303132e-01
5.3065326633e+00 6.0000303132e-01
5.3668341709e+00 6.0000303132e-01
5.4271356784e+00 6.0000303132e-01
5.4874371859e+00 6.0000303132e-01
5.5477386935e+00 6.0000303132e-01
5.6080402010e+00 6.0000303132e-01
5.6683417085e+00 6.0000303132e-01
5.7286432161e+00 6.0000303132e-01
5.7889447236e+00 6.0000303132e-01
5.8492462312e+00 6.0000303132e-01
5.9095477387e+00 6.0000303132e-01
5.9698492462e+00 6.0000303132e-01
6.0301507538e+00 6.0000303132e-01
6.0904522613e+00 6.0000303132e-01
6.1507537688e+00 6.0000303132e-01
6.2110552764e+00 6.0000303132e-01
6.2713567839e+00 6.0000303132e-01
6.3316582915e+00 6.0000303132e-01
6.3919597990e+00 6.0000303132e-01
6.4522613065e+00 6.0000303132e-01
6.5125628141e+00 6.0000303132e-01
6.5728643216e+00 6.0000303132e-01
6.6331658291e+00 6.0000303132e-01
6.6934673367e+00 6.0000303132e-01
6.7537688442e+00 6.0000303132e-01
6.8140703518e+00 6.0000303132e-01
6.8743718593e+00 6.0000303132e-01
6.9346733668e+00 6.0000303132e-01
6.9949748744e+00 6.0000303132e-01
7.0552763819e+00 6.0000303132e-01
7.1155778894e+00 6.0000303132e-01
7.1758793970e+00 6.0000303132e-01
7.2361809045e+00 6.0000303132e-01
7.2964824121e+00 6.0000303132e-01
7.3567839196e+00 6.0000303132e-01
7.4170854271e+00 6.0000303132e-01
7.4773869347e+00 6.0000303132e-01
7.5376884422e+00 6.0000303132e-01
7.5979899497e+00 6.0000303132e-01
7.6582914573e+00 6.0000303132e-01
7.7185929648e+00 6.0000303132e-01
7.7788944724e+00 6.0000303132e-01
7.8391959799e+00 6.0000303132e-01
7.8994974874e+00 6.0000303132e-01
7.9597989950e+00 6.0000303132e-01
8.0201005025e+00 6.0000303132e-01
8.0804020101e+00 6.0000303132e-01
8.1407035176e+00 6.0000303132e-01
8.2010050251e+00 6.0000303132e-01
8.2613065327e+00 6.0000303132e-01
8.3216080402e+00 6.0000303132e-01
8.3819095477e+00 6.0000303132e-01
8.4422110553e+00 6.0000303132e-01
8.5025125628e+00 6.0000303132e-01
8.5628140704e+00 6.0000303132e-01
8.6231155779e+00 6.0000303132e-01
8.6834170854e+00 6.0000303132e-01
8.7437185930e+00 6.0000303132e-01
8.8040201005e+00 6.0000303132e-01
8.8643216080e+00 6.0000303132e-01
8.9246231156e+00 6.0000303132e-01
8.9849246231e+00 6.0000303132e-01
9.0452261307e+00 6.0000303132e-01
9.1055276382e+00 6.0000303132e-01
9.1658291457e+00 6.0000303132e-01
9.2261306533e+00 6.0000303132e-01
9.2864321608e+00 6.0000303132e-01
9.3467336683e+00 6.0000303132e-01
9.4070351759e+00 6.0000303132e-01
9.4673366834e+00 6.0000303132e-01
9.5276381910e+00 6.0000303132e-01
9.5879396985e+00 6.0000303132e-01
9.6482412060e+00 6.0000303132e-01
9.7085427136e+00 6.0000303132e-01
9.7688442211e+00 6.0000303132e-01
9.8291457286e+00 6.0000303132e-01
9.8894472362e+00 6.0000303132e-01
9.9497487437e+00 6.0000303132e-01
1.0010050251e+01 6.0000303132e-01
1.0070351759e+01 6.0000303132e-01
1.0130653266e+01 6.0000303132e-01
1.0190954774e+01 6.0000303132e-01
1.0251256281e+01 6.0000303132e-01
1.0311557789e+01 6.0000303132e-01
1.0371859296e+01 6.0000303132e-01
1.0432160804e+01 6.0000303132e-01
1.0492462312e+01 6.0000303132e-01
1.0552763819e+01 6.0000303132e-01
1.0613065327e+01 6.0000303132e-01
1.0673366834e+01 6.0000303132e-01
1.0733668342e+01 6.0000303132e-01
1.0793969849e+01 6.0000303132e-01
1.0854271357e+01 6.0000303132e-01
1.0914572864e+01 6.0000303132e-01
1.0974874372e+01 6.0000303132e-01
1.1035175879e+01 6.0000303132e-01
1.1095477387e+01 6.0000303132e-01
1.1155778894e+01 6.0000303132e-01
1.1216080402e+01 6.0000303132e-01
1.1276381910e+01 6.0000303132e-01
1.1336683417e+01 6.0000303132e-01
1.1396984925e+01 6.0000303132e-01
1.1457286432e+01 6.0000303132e-01
1.1517587940e+01 6.0000303132e-01
1.1577889447e+01 6.0000303132e-01
1.1638190955e+01 6.0000303132e-01
1.1698492462e+01 6.0000303132e-01
1.1758793970e+01 6.0000303132e-01
1.1819095477e+01 6.0000303132e-01
1.1879396985e+01 6.0000303132e-01
1.1939698492e+01 6.0000304899e-01
1.2000000000e+01 1.0000000000e+00
