# kx ky kz
0.000000 0.000000 1.000000
0.342020 0.000000 0.939693
0.315985 0.130885 0.939693
0.241845 0.241845 0.939693
0.130885 0.315985 0.939693
0.000000 0.342020 0.939693
-0.130885 0.315985 0.939693
-0.241845 0.241845 0.939693
-0.315985 0.130885 0.939693
-0.342020 0.000000 0.939693
-0.315985 -0.130885 0.939693
-0.241845 -0.241845 0.939693
-0.130885 -0.315985 0.939693
-0.000000 -0.342020 0.939693
0.130885 -0.315985 0.939693
0.241845 -0.241845 0.939693
0.315985 -0.130885 0.939693
0.642788 0.000000 0.766044
0.593858 0.245984 0.766044
0.454519 0.454519 0.766044
0.245984 0.593858 0.766044
0.000000 0.642788 0.766044
-0.245984 0.593858 0.766044
-0.454519 0.454519 0.766044
-0.593858 0.245984 0.766044
-0.642788 0.000000 0.766044
-0.593858 -0.245984 0.766044
-0.454519 -0.454519 0.766044
-0.245984 -0.593858 0.766044
-0.000000 -0.642788 0.766044
0.245984 -0.593858 0.766044
0.454519 -0.454519 0.766044
0.593858 -0.245984 0.766044
0.866025 0.000000 0.500000
0.800103 0.331414 0.500000
0.612372 0.612372 0.500000
0.331414 0.800103 0.500000
0.000000 0.866025 0.500000
-0.331414 0.800103 0.500000
-0.612372 0.612372 0.500000
-0.800103 0.331414 0.500000
-0.866025 0.000000 0.500000
-0.800103 -0.331414 0.500000
-0.612372 -0.612372 0.500000
-0.331414 -0.800103 0.500000
-0.000000 -0.866025 0.500000
0.331414 -0.800103 0.500000
0.612372 -0.612372 0.500000
0.800103 -0.331414 0.500000
0.984808 0.000000 0.173648
0.909844 0.376870 0.173648
0.696364 0.696364 0.173648
0.376870 0.909844 0.173648
0.000000 0.984808 0.173648
-0.376870 0.909844 0.173648
-0.696364 0.696364 0.173648
-0.909844 0.376870 0.173648
-0.984808 0.000000 0.173648
-0.909844 -0.376870 0.173648
-0.696364 -0.696364 0.173648
-0.376870 -0.909844 0.173648
-0.000000 -0.984808 0.173648
0.376870 -0.909844 0.173648
0.696364 -0.696364 0.173648
0.909844 -0.376870 0.173648
0.984808 0.000000 -0.173648
0.909844 0.376870 -0.173648
0.696364 0.696364 -0.173648
0.376870 0.909844 -0.173648
0.000000 0.984808 -0.173648
-0.376870 0.909844 -0.173648
-0.696364 0.696364 -0.173648
-0.909844 0.376870 -0.173648
-0.984808 0.000000 -0.173648
-0.909844 -0.376870 -0.173648
-0.696364 -0.696364 -0.173648
-0.376870 -0.909844 -0.173648
-0.000000 -0.984808 -0.173648
0.376870 -0.909844 -0.173648
0.696364 -0.696364 -0.173648
0.909844 -0.376870 -0.173648
0.866025 0.000000 -0.500000
0.800103 0.331414 -0.500000
0.612372 0.612372 -0.500000
0.331414 0.800103 -0.500000
0.000000 0.866025 -0.500000
-0.331414 0.800103 -0.500000
-0.612372 0.612372 -0.500000
-0.800103 0.331414 -0.500000
-0.866025 0.000000 -0.500000
-0.800103 -0.331414 -0.500000
-0.612372 -0.612372 -0.500000
-0.331414 -0.800103 -0.500000
-0.000000 -0.866025 -0.500000
0.331414 -0.800103 -0.500000
0.612372 -0.612372 -0.500000
0.800103 -0.331414 -0.500000
0.642788 0.000000 -0.766044
0.593858 0.245984 -0.766044
0.454519 0.454519 -0.766044
0.245984 0.593858 -0.766044
0.000000 0.642788 -0.766044
-0.245984 0.593858 -0.766044
-0.454519 0.454519 -0.766044
-0.593858 0.245984 -0.766044
-0.642788 0.000000 -0.766044
-0.593858 -0.245984 -0.766044
-0.454519 -0.454519 -0.766044
-0.245984 -0.593858 -0.766044
-0.000000 -0.642788 -0.766044
0.245984 -0.593858 -0.766044
0.454519 -0.454519 -0.766044
0.593858 -0.245984 -0.766044
0.342020 0.000000 -0.939693
0.315985 0.130885 -0.939693
0.241845 0.241845 -0.939693
0.130885 0.315985 -0.939693
0.000000 0.342020 -0.939693
-0.130885 0.315985 -0.939693
-0.241845 0.241845 -0.939693
-0.315985 0.130885 -0.939693
-0.342020 0.000000 -0.939693
-0.315985 -0.130885 -0.939693
-0.241845 -0.241845 -0.939693
-0.130885 -0.315985 -0.939693
-0.000000 -0.342020 -0.939693
0.130885 -0.315985 -0.939693
0.241845 -0.241845 -0.939693
0.315985 -0.130885 -0.939693
0.000000 0.000000 -1.000000
