# Eta U_velocity
0.0000000000e+00 0.0000000000e+00
6.0301507538e-02 2.0023527589e-02
1.2060301508e-01 4.0046629954e-02
1.8090452261e-01 6.0068213746e-02
2.4120603015e-01 8.0086457134e-02
3.0150753769e-01 1.0009881078e-01
3.6180904523e-01 1.2010199968e-01
4.2211055276e-01 1.4009202620e-01
4.8241206030e-01 1.6006417452e-01
5.4271356784e-01 1.8001301690e-01
6.0301507538e-01 1.9993242191e-01
6.6331658291e-01 2.1981556507e-01
7.2361809045e-01 2.3965494208e-01
7.8391959799e-01 2.5944238494e-01
8.4422110553e-01 2.7916908138e-01
9.0452261307e-01 2.9882559763e-01
9.6482412060e-01 3.1840190519e-01
1.0251256281e+00 3.3788741151e-01
1.0854271357e+00 3.5727099513e-01
1.1457286432e+00 3.7654104548e-01
1.2060301508e+00 3.9568550767e-01
1.2663316583e+00 4.1469193247e-01
1.3266331658e+00 4.3354753187e-01
1.3869346734e+00 4.5223924054e-01
1.4472361809e+00 4.7075378326e-01
1.5075376884e+00 4.8907774899e-01
1.5678391960e+00 5.0719767144e-01
1.6281407035e+00 5.2510011681e-01
1.6884422111e+00 5.4277177872e-01
1.7487437186e+00 5.6019958080e-01
1.8090452261e+00 5.7737078713e-01
1.8693467337e+00 5.9427312083e-01
1.9296482412e+00 6.1089489120e-01
1.9899497487e+00 6.2722512951e-01
2.0502512563e+00 6.4325373389e-01
2.1105527638e+00 6.5897162363e-01
2.1708542714e+00 6.7437090296e-01
2.2311557789e+00 6.8944503491e-01
2.2914572864e+00 7.0418902525e-01
2.3517587940e+00 7.1859961709e-01
2.4120603015e+00 7.3267549615e-01
2.4723618090e+00 7.4641750716e-01
2.5326633166e+00 7.5982888170e-01
2.5929648241e+00 7.7291547763e-01
2.6532663317e+00 7.8568603060e-01
2.7135678392e+00 7.9815241766e-01
2.7738693467e+00 8.1032993359e-01
2.8341708543e+00 8.2223758000e-01
2.8944723618e+00 8.3389836752e-01
2.9547738693e+00 8.4533963149e-01
3.0150753769e+00 8.5659336138e-01
3.0753768844e+00 8.6769654414e-01
3.1356783920e+00 8.7869152193e-01
3.1959798995e+00 8.8962636441e-01
3.2562814070e+00 9.0055525594e-01
3.3165829146e+00 9.1153889794e-01
3.3768844221e+00 9.2264492672e-01
3.4371859296e+00 9.3394834711e-01
3.4974874372e+00 9.4553198209e-01
3.5577889447e+00 9.5748693880e-01
3.6180904523e+00 9.6991309124e-01
3.6783919598e+00 9.8291957975e-01
3.7386934673e+00 9.9662532792e-01
3.7989949749e+00 1.0000000000e+00
3.8592964824e+00 1.0000000000e+00
3.9195979899e+00 1.0000000000e+00
3.9798994975e+00 1.0000000000e+00
4.0402010050e+00 1.0000000000e+00
4.1005025126e+00 1.0000000000e+00
4.1608040201e+00 1.0000000000e+00
4.2211055276e+00 1.0000000000e+00
4.2814070352e+00 1.0000000000e+00
4.3417085427e+00 1.0000000000e+00
4.4020100503e+00 1.0000000000e+00
4.4623115578e+00 1.0000000000e+00
4.5226130653e+00 1.0000000000e+00
4.5829145729e+00 1.0000000000e+00
4.6432160804e+00 1.0000000000e+00
4.7035175879e+00 1.0000000000e+00
4.7638190955e+00 1.0000000000e+00
4.8241206030e+00 1.0000000000e+00
4.8844221106e+00 1.0000000000e+00
4.9447236181e+00 1.0000000000e+00
5.0050251256e+00 9.9648766879e-01
5.0653266332e+00 9.9683385775e-01
5.1256281407e+00 9.9714592499e-01
5.1859296482e+00 9.9742723368e-01
5.2462311558e+00 9.9768081549e-01
5.3065326633e+00 9.9790940330e-01
5.3668341709e+00 9.9811546060e-01
5.4271356784e+00 9.9830120810e-01
5.4874371859e+00 9.9846864761e-01
5.5477386935e+00 9.9861958363e-01
5.6080402010e+00 9.9875564281e-01
5.6683417085e+00 9.9887829148e-01
5.7286432161e+00 9.9898885141e-01
5.7889447236e+00 9.9908851413e-01
5.8492462312e+00 9.9917835371e-01
5.9095477387e+00 9.9925933835e-01
5.9698492462e+00 9.9933234083e-01
6.0301507538e+00 9.9939814790e-01
6.0904522613e+00 9.9945746878e-01
6.1507537688e+00 9.9951094275e-01
6.2110552764e+00 9.9955914613e-01
6.2713567839e+00 9.9960259839e-01
6.3316582915e+00 9.9964176784e-01
6.3919597990e+00 9.9967707658e-01
6.4522613065e+00 9.9970890517e-01
6.5125628141e+00 9.9973759660e-01
6.5728643216e+00 9.9976346010e-01
6.6331658291e+00 9.9978677438e-01
6.6934673367e+00 9.9980779073e-01
6.7537688442e+00 9.9982673562e-01
6.8140703518e+00 9.9984381323e-01
6.8743718593e+00 9.9985920760e-01
6.9346733668e+00 9.9987308464e-01
6.9949748744e+00 9.9988559391e-01
7.0552763819e+00 9.9989687022e-01
7.1155778894e+00 9.9990703509e-01
7.1758793970e+00 9.9991619807e-01
7.2361809045e+00 9.9992445791e-01
7.2964824121e+00 9.9993190363e-01
7.3567839196e+00 9.9993861548e-01
7.4170854271e+00 9.9994466577e-01
7.4773869347e+00 9.9995011973e-01
7.5376884422e+00 9.9995503612e-01
7.5979899497e+00 9.9995946793e-01
7.6582914573e+00 9.9996346293e-01
7.7185929648e+00 9.9996706417e-01
7.7788944724e+00 9.9997031045e-01
7.8391959799e+00 9.9997323677e-01
7.8994974874e+00 9.9997587466e-01
7.9597989950e+00 9.9997825254e-01
8.0201005025e+00 9.9998039606e-01
8.0804020101e+00 9.9998232830e-01
8.1407035176e+00 9.9998407009e-01
8.2010050251e+00 9.9998564020e-01
8.2613065327e+00 9.9998705556e-01
8.3216080402e+00 9.9998833141e-01
8.3819095477e+00 9.9998948151e-01
8.4422110553e+00 9.9999051826e-01
8.5025125628e+00 9.9999145281e-01
8.5628140704e+00 9.9999229526e-01
8.6231155779e+00 9.9999305467e-01
8.6834170854e+00 9.9999373923e-01
8.7437185930e+00 9.9999435631e-01
8.8040201005e+00 9.9999491258e-01
8.8643216080e+00 9.9999541401e-01
8.9246231156e+00 9.9999586602e-01
8.9849246231e+00 9.9999627349e-01
9.0452261307e+00 9.9999664079e-01
9.1055276382e+00 9.9999697188e-01
9.1658291457e+00 9.9999727035e-01
9.2261306533e+00 9.9999753939e-01
9.2864321608e+00 9.9999778192e-01
9.3467336683e+00 9.9999800054e-01
9.4070351759e+00 9.9999819762e-01
9.4673366834e+00 9.9999837527e-01
9.5276381910e+00 9.9999853541e-01
9.5879396985e+00 9.9999867976e-01
9.6482412060e+00 9.9999880989e-01
9.7085427136e+00 9.9999892719e-01
9.7688442211e+00 9.9999903293e-01
9.8291457286e+00 9.9999912825e-01
9.8894472362e+00 9.9999921417e-01
9.9497487437e+00 9.9999929163e-01
1.0010050251e+01 9.9999936145e-01
1.0070351759e+01 9.9999942439e-01
1.0130653266e+01 9.9999948112e-01
1.0190954774e+01 9.9999953226e-01
1.0251256281e+01 9.9999957836e-01
1.0311557789e+01 9.9999961992e-01
1.0371859296e+01 9.9999965738e-01
1.0432160804e+01 9.9999969115e-01
1.0492462312e+01 9.9999972160e-01
1.0552763819e+01 9.9999974904e-01
1.0613065327e+01 9.9999977377e-01
1.0673366834e+01 9.9999979607e-01
1.0733668342e+01 9.9999981617e-01
1.0793969849e+01 9.9999983429e-01
1.0854271357e+01 9.9999985062e-01
1.0914572864e+01 9.9999986535e-01
1.0974874372e+01 9.9999987862e-01
1.1035175879e+01 9.9999989058e-01
1.1095477387e+01 9.9999990137e-01
1.1155778894e+01 9.9999991109e-01
1.1216080402e+01 9.9999991985e-01
1.1276381910e+01 9.9999992775e-01
1.1336683417e+01 9.9999993487e-01
1.1396984925e+01 9.9999994129e-01
1.1457286432e+01 9.9999994708e-01
1.1517587940e+01 9.9999995229e-01
1.1577889447e+01 9.9999995700e-01
1.1638190955e+01 9.9999996123e-01
1.1698492462e+01 9.9999996506e-01
1.1758793970e+01 9.9999996850e-01
1.1819095477e+01 9.9999997160e-01
1.1879396985e+01 9.9999997440e-01
1.1939698492e+01 9.9999997693e-01
1.2000000000e+01 9.9999997920e-01
