# Shack-Hartmann subaperture slopes
# N_SUBAPERTURES: 64
   0 3.152151992922e+00 -2.122249025749e+00
   1 3.394093220567e+01 -2.677400275575e+00
   2 9.984842574073e+00 2.600970046362e+00
   3 -1.440890534619e+01 1.235704650693e+00
   4 -8.459620899797e+00 7.565367336253e+00
   5 -6.004520299632e+00 3.905549533200e+00
   6 -4.090734185982e+00 6.375491639880e+00
   7 -1.673702434898e+01 1.241492280516e+01
   8 -1.510270127648e+01 1.881748421791e+01
   9 1.453751994371e+01 -2.363780568570e+00
  10 1.468757184419e+01 -2.819150304135e+01
  11 -8.342384713824e+00 -1.284742688832e+01
  12 1.978313188940e+00 1.521455366102e+01
  13 -7.136947355924e+00 5.193612601194e+00
  14 2.249792817763e+00 5.346177521098e+00
  15 1.673211399317e+00 -7.990010129573e+00
  16 -7.521099314599e+00 1.998977919172e+01
  17 -1.683310506114e+01 1.137163732463e+01
  18 8.678476476546e+00 6.184038112067e+00
  19 1.110890553426e+01 7.936716105783e+00
  20 9.762665896282e-01 -2.796485243548e+00
  21 -6.709091028048e+00 1.250007878105e+01
  22 -1.289047980734e+01 1.842897429277e+01
  23 1.320689903557e+01 1.945717247830e+01
  24 2.707435885917e-02 -2.485011568113e+00
  25 -9.985542796314e+00 6.659537650613e+00
  26 1.673180613894e-01 8.293990006927e+00
  27 2.640393675528e+00 -8.699078091308e-03
  28 1.084043290091e+00 -1.230234438854e+01
  29 -1.287765747842e-01 -1.003966072633e+01
  30 1.517636469109e+00 -5.946106852915e+00
  31 2.533190554409e+00 1.440861771180e+01
  32 3.150364775896e+00 2.006869861875e+00
  33 -1.105603772936e+01 -1.140800937401e+00
  34 1.896836975471e+00 -4.887134898792e+00
  35 -8.460090974254e+00 -1.318078839973e+01
  36 -2.413049753775e+00 -2.653469737652e+01
  37 -2.553698949929e+00 -3.010839773248e+01
  38 9.783855999108e+00 -2.720562262233e+01
  39 8.863817053501e+00 -1.456690298773e+01
  40 -4.571508809980e+00 -3.957503604818e+01
  41 8.859053460772e+00 -1.482998658439e+01
  42 -4.805979227061e-01 1.067791850137e+00
  43 -1.679441722158e+01 2.614048669950e+00
  44 -8.049317508055e+00 -3.123722470686e+00
  45 -3.149610197405e+00 -5.128249822287e+00
  46 1.143116154597e+01 -2.809807572142e+00
  47 2.006643996352e+01 -1.806022541669e+01
  48 -1.160573646289e+00 -7.550133489618e+00
  49 2.915762746367e+01 -8.177061291403e+00
  50 4.818948219910e+00 -1.180444241727e+00
  51 -1.720151299504e+01 1.473055987200e+01
  52 -1.463039655054e+01 1.944393308995e+00
  53 4.855583233958e+00 9.672393736433e+00
  54 -2.860742103734e-01 1.623375375340e+00
  55 1.862836198185e+00 -1.641498859778e+01
  56 3.545497641695e+00 1.277172405488e+01
  57 2.785675813301e+01 -6.991435142626e-01
  58 1.087102676527e+01 9.358499579496e+00
  59 -2.319090998905e+01 3.374302696082e+00
  60 -5.219198708547e+00 1.274545111188e+01
  61 2.756983010308e+00 1.036230368379e+01
  62 -1.671669269185e+01 1.172845312938e+01
  63 4.343178420642e+00 1.493089021837e+01
