# Zernike mode coefficients
# N_MODES: 21
   0 0.0000000000000000e+00 Z0
   1 -1.2079248389828474e+00 Z1
   2 -1.1102230246251565e-16 Z2
   3 -1.3472611104552734e-01 Z3
   4 3.9847702790473755e-01 Z4
   5 -3.3306690738754696e-16 Z5
   6 1.1327961196075143e-01 Z6
   7 1.1327961196075106e-01 Z7
   8 1.1267505660614359e+00 Z8
   9 2.2204460492503131e-16 Z9
  10 9.0787491984966961e-01 Z10
  11 2.1418313006808273e-01 Z11
  12 9.0787491984966939e-01 Z12
  13 1.7407527598472569e-01 Z13
  14 5.5101297694794727e-40 Z14
  15 -1.0342546569036163e-02 Z15
  16 -2.6052698379150718e-01 Z16
  17 -2.6052698379150713e-01 Z17
  18 -1.0342546569036330e-02 Z18
  19 4.7871071685961060e-02 Z19
  20 0.0000000000000000e+00 Z20
