# r  S(r)  epsilon(r)
5.000000e-01 9.987290e-01 7.328162e+01
5.353535e-01 9.985702e-01 7.298727e+01
5.707071e-01 9.983917e-01 7.268139e+01
6.060606e-01 9.981909e-01 7.236363e+01
6.414141e-01 9.979651e-01 7.203369e+01
6.767677e-01 9.977112e-01 7.169122e+01
7.121212e-01 9.974257e-01 7.133590e+01
7.474747e-01 9.971047e-01 7.096741e+01
7.828283e-01 9.967437e-01 7.058544e+01
8.181818e-01 9.963379e-01 7.018969e+01
8.535354e-01 9.958818e-01 6.977985e+01
8.888889e-01 9.953691e-01 6.935565e+01
9.242424e-01 9.947930e-01 6.891681e+01
9.595960e-01 9.941455e-01 6.846306e+01
9.949495e-01 9.934181e-01 6.799418e+01
1.030303e+00 9.926010e-01 6.750993e+01
1.065657e+00 9.916834e-01 6.701012e+01
1.101010e+00 9.906529e-01 6.649456e+01
1.136364e+00 9.894962e-01 6.596309e+01
1.171717e+00 9.881979e-01 6.541559e+01
1.207071e+00 9.867414e-01 6.485195e+01
1.242424e+00 9.851079e-01 6.427212e+01
1.277778e+00 9.832765e-01 6.367604e+01
1.313131e+00 9.812241e-01 6.306371e+01
1.348485e+00 9.789253e-01 6.243518e+01
1.383838e+00 9.763519e-01 6.179052e+01
1.419192e+00 9.734727e-01 6.112983e+01
1.454545e+00 9.702536e-01 6.045328e+01
1.489899e+00 9.666572e-01 5.976107e+01
1.525253e+00 9.626429e-01 5.905344e+01
1.560606e+00 9.581661e-01 5.833068e+01
1.595960e+00 9.531789e-01 5.759314e+01
1.631313e+00 9.476296e-01 5.684119e+01
1.666667e+00 9.414631e-01 5.607527e+01
1.702020e+00 9.346206e-01 5.529587e+01
1.737374e+00 9.270401e-01 5.450350e+01
1.772727e+00 9.186573e-01 5.369876e+01
1.808081e+00 9.094055e-01 5.288225e+01
1.843434e+00 8.992168e-01 5.205464e+01
1.878788e+00 8.880233e-01 5.121665e+01
1.914141e+00 8.757584e-01 5.036903e+01
1.949495e+00 8.623583e-01 4.951256e+01
1.984848e+00 8.477642e-01 4.864807e+01
2.020202e+00 8.319242e-01 4.777643e+01
2.055556e+00 8.147962e-01 4.689852e+01
2.090909e+00 7.963501e-01 4.601526e+01
2.126263e+00 7.765705e-01 4.512759e+01
2.161616e+00 7.554597e-01 4.423647e+01
2.196970e+00 7.330399e-01 4.334287e+01
2.232323e+00 7.093555e-01 4.244779e+01
2.267677e+00 6.844743e-01 4.155221e+01
2.303030e+00 6.584885e-01 4.065713e+01
2.338384e+00 6.315147e-01 3.976353e+01
2.373737e+00 6.036927e-01 3.887241e+01
2.409091e+00 5.751831e-01 3.798474e+01
2.444444e+00 5.461644e-01 3.710148e+01
2.479798e+00 5.168287e-01 3.622357e+01
2.515152e+00 4.873764e-01 3.535193e+01
2.550505e+00 4.580116e-01 3.448744e+01
2.585859e+00 4.289356e-01 3.363097e+01
2.621212e+00 4.003420e-01 3.278335e+01
2.656566e+00 3.724114e-01 3.194536e+01
2.691919e+00 3.453074e-01 3.111775e+01
2.727273e+00 3.191728e-01 3.030124e+01
2.762626e+00 2.941276e-01 2.949650e+01
2.797980e+00 2.702675e-01 2.870413e+01
2.833333e+00 2.476638e-01 2.792473e+01
2.868687e+00 2.263642e-01 2.715881e+01
2.904040e+00 2.063938e-01 2.640686e+01
2.939394e+00 1.877577e-01 2.566932e+01
2.974747e+00 1.704429e-01 2.494656e+01
3.010101e+00 1.544213e-01 2.423893e+01
3.045455e+00 1.396522e-01 2.354672e+01
3.080808e+00 1.260850e-01 2.287017e+01
3.116162e+00 1.136617e-01 2.220948e+01
3.151515e+00 1.023192e-01 2.156482e+01
3.186869e+00 9.199110e-02 2.093629e+01
3.222222e+00 8.260959e-02 2.032396e+01
3.257576e+00 7.410674e-02 1.972788e+01
3.292929e+00 6.641571e-02 1.914805e+01
3.328283e+00 5.947161e-02 1.858441e+01
3.363636e+00 5.321217e-02 1.803691e+01
3.398990e+00 4.757822e-02 1.750544e+01
3.434343e+00 4.251398e-02 1.698988e+01
3.469697e+00 3.796730e-02 1.649007e+01
3.505051e+00 3.388965e-02 1.600582e+01
3.540404e+00 3.023618e-02 1.553694e+01
3.575758e+00 2.696557e-02 1.508319e+01
3.611111e+00 2.403997e-02 1.464435e+01
3.646465e+00 2.142479e-02 1.422015e+01
3.681818e+00 1.908854e-02 1.381031e+01
3.717172e+00 1.700262e-02 1.341456e+01
3.752525e+00 1.514112e-02 1.303259e+01
3.787879e+00 1.348063e-02 1.266410e+01
3.823232e+00 1.200002e-02 1.230878e+01
3.858586e+00 1.068027e-02 1.196631e+01
3.893939e+00 9.504268e-03 1.163637e+01
3.929293e+00 8.456648e-03 1.131861e+01
3.964646e+00 7.523627e-03 1.101273e+01
4.000000e+00 6.692851e-03 1.071838e+01
