# Q  F(Q)  dF/dQ
0.000000e+00 -2.947027e+00 1.591059e+03
5.025126e-03 -2.947027e+00 1.591059e+03
1.005025e-02 -2.947027e+00 1.591059e+03
1.507538e-02 -2.947027e+00 1.591059e+03
2.010050e-02 1.145356e+00 8.363214e+02
2.512563e-02 3.421178e+00 1.391455e+02
3.015075e-02 3.124551e+00 -2.100884e+02
3.517588e-02 1.692789e+00 -3.296415e+02
4.020101e-02 4.726275e-02 -3.076882e+02
4.522613e-02 -1.270952e+00 -2.083285e+02
5.025126e-02 -1.993152e+00 -7.663411e+01
5.527638e-02 -2.038281e+00 5.714537e+01
6.030151e-02 -1.447473e+00 1.741041e+02
6.532663e-02 -3.344521e-01 2.638283e+02
7.035176e-02 1.151116e+00 3.220828e+02
7.537688e-02 2.849837e+00 3.489551e+02
8.040201e-02 4.610472e+00 3.473887e+02
8.542714e-02 6.301303e+00 3.220428e+02
9.045226e-02 7.816467e+00 2.784252e+02
9.547739e-02 9.078528e+00 2.222511e+02
1.005025e-01 1.003830e+01 1.589862e+02
1.055276e-01 1.067277e+01 9.354034e+01
1.105528e-01 1.098178e+01 3.007964e+01
1.155779e-01 1.098402e+01 -2.806805e+01
1.206030e-01 1.071276e+01 -7.843612e+01
1.256281e-01 1.021153e+01 -1.193896e+02
1.306533e-01 9.530134e+00 -1.500579e+02
1.356784e-01 8.721006e+00 -1.702430e+02
1.407035e-01 7.836118e+00 -1.803128e+02
1.457286e-01 6.924404e+00 -1.810885e+02
1.507538e-01 6.029770e+00 -1.737312e+02
1.557789e-01 5.189658e+00 -1.596346e+02
1.608040e-01 4.434136e+00 -1.403253e+02
1.658291e-01 3.785453e+00 -1.173738e+02
1.708543e-01 3.258018e+00 -9.231885e+01
1.758794e-01 2.858722e+00 -6.660430e+01
1.809045e-01 2.587546e+00 -4.152924e+01
1.859296e-01 2.438387e+00 -1.821144e+01
1.909548e-01 2.400033e+00 2.437096e+00
1.959799e-01 2.457236e+00 1.972329e+01
2.010050e-01 2.591824e+00 3.317612e+01
2.060302e-01 2.783806e+00 4.254102e+01
2.110553e-01 3.012429e+00 4.776684e+01
2.160804e-01 3.257156e+00 4.898706e+01
2.211055e-01 3.498537e+00 4.649629e+01
2.261307e-01 3.718952e+00 4.072365e+01
2.311558e-01 3.903215e+00 3.220418e+01
2.361809e-01 4.039033e+00 2.154934e+01
2.412060e-01 4.117317e+00 9.417823e+00
2.462312e-01 4.132346e+00 -3.512704e+00
2.512563e-01 4.081799e+00 -1.657192e+01
2.562814e-01 3.966652e+00 -2.912076e+01
2.613065e-01 3.790970e+00 -4.057242e+01
2.663317e-01 3.561598e+00 -5.041003e+01
2.713568e-01 3.287771e+00 -5.820084e+01
2.763819e-01 2.980665e+00 -6.360672e+01
2.814070e-01 2.652904e+00 -6.639107e+01
2.864322e-01 2.318036e+00 -6.642210e+01
2.914573e-01 1.990008e+00 -6.367277e+01
2.964824e-01 1.682647e+00 -5.821750e+01
3.015075e-01 1.409161e+00 -5.022607e+01
3.065327e-01 1.181685e+00 -3.995492e+01
3.115578e-01 1.010869e+00 -2.773644e+01
3.165829e-01 9.055284e-01 -1.396637e+01
3.216080e-01 8.723587e-01 9.100026e-01
3.266332e-01 9.157242e-01 1.641255e+01
3.316583e-01 1.037521e+00 3.204154e+01
3.366834e-01 1.237116e+00 4.729282e+01
3.417085e-01 1.511365e+00 6.167282e+01
3.467337e-01 1.854697e+00 7.471268e+01
3.517588e-01 2.259277e+00 8.598156e+01
3.567839e-01 2.715225e+00 9.509850e+01
3.618090e-01 3.210895e+00 1.017428e+02
3.668342e-01 3.733198e+00 1.056628e+02
3.718593e-01 4.267969e+00 1.066821e+02
3.768844e-01 4.800356e+00 1.047050e+02
3.819095e-01 5.315235e+00 9.971837e+01
3.869347e-01 5.797624e+00 9.179283e+01
3.919598e-01 6.233104e+00 8.108072e+01
3.969849e-01 6.608220e+00 6.781286e+01
4.020101e-01 6.910864e+00 5.229298e+01
4.070352e-01 7.130622e+00 3.489071e+01
4.120603e-01 7.259084e+00 1.603277e+01
4.170854e-01 7.290108e+00 -3.806996e+00
4.221106e-01 7.220030e+00 -2.411881e+01
4.271357e-01 7.047811e+00 -4.436896e+01
4.321608e-01 6.775127e+00 -6.401242e+01
4.371859e-01 6.406397e+00 -8.250575e+01
