# Q  p_steady
0.000000e+00 1.000000e-01
2.500000e-02 9.429705e-02
5.000000e-02 8.782294e-02
7.500000e-02 7.979802e-02
1.000000e-01 9.006687e-02
1.250000e-01 1.468235e-01
1.500000e-01 1.684837e-01
1.750000e-01 1.597531e-01
2.000000e-01 1.643161e-01
2.250000e-01 1.726534e-01
2.500000e-01 1.890877e-01
2.750000e-01 2.022439e-01
3.000000e-01 2.058172e-01
3.250000e-01 2.064052e-01
3.500000e-01 2.074629e-01
3.750000e-01 2.004203e-01
4.000000e-01 3.673854e-01
4.250000e-01 7.865078e-01
4.500000e-01 1.028275e+00
4.750000e-01 1.026427e+00
5.000000e-01 1.026988e+00
5.250000e-01 1.026776e+00
5.500000e-01 1.026996e+00
5.750000e-01 1.026730e+00
6.000000e-01 1.027189e+00
6.250000e-01 1.025192e+00
6.500000e-01 1.021348e+00
6.750000e-01 1.020961e+00
7.000000e-01 1.021123e+00
7.250000e-01 1.020985e+00
7.500000e-01 1.022128e+00
7.750000e-01 1.021387e+00
8.000000e-01 1.022475e+00
8.250000e-01 9.877574e-01
8.500000e-01 9.722503e-01
8.750000e-01 9.781422e-01
9.000000e-01 9.703236e-01
9.250000e-01 9.639026e-01
9.500000e-01 9.791013e-01
9.750000e-01 9.898238e-01
1.000000e+00 1.000000e+00
