257 3 0
0 2 5 0
1 146 151 149
2 63 70 77
3 99 106 112
4 34 29 24
5 52 40 45
6 40 34 45
7 34 40 29
8 74 66 83
9 58 52 45
10 58 66 52
11 99 107 92
12 107 99 112
13 113 119 108
14 119 113 124
15 123 118 112
16 118 107 112
17 107 118 113
18 118 123 128
19 124 118 128
20 113 118 124
21 55 63 49
22 55 70 63
23 57 50 64
24 50 57 44
25 27 33 23
26 72 57 64
27 57 72 65
28 80 102 95
29 72 82 65
30 82 72 89
31 56 43 49
32 63 56 49
33 56 50 43
34 50 56 64
35 117 123 112
36 106 117 112
37 111 117 106
38 117 111 122
39 91 106 99
40 91 74 83
41 109 115 104
42 115 110 104
43 110 115 121
44 114 120 109
45 115 120 129
46 120 115 109
47 61 69 48
48 69 61 78
49 42 48 37
50 31 42 37
51 42 31 36
52 4 2 0
53 1 4 0
54 34 39 45
55 39 33 44
56 127 117 122
57 117 127 123
58 138 136 128
59 101 86 93
60 100 107 113
61 100 113 108
62 107 100 92
63 101 100 108
64 100 101 93
65 70 62 79
66 55 62 70
67 57 51 44
68 39 51 45
69 51 39 44
70 51 57 65
71 51 58 45
72 58 51 65
73 38 50 44
74 33 38 44
75 43 38 32
76 50 38 43
77 38 27 32
78 38 33 27
79 28 20 23
80 33 28 23
81 20 28 24
82 39 28 33
83 28 34 24
84 28 39 34
85 81 72 64
86 72 81 89
87 102 87 94
88 80 87 102
89 94 87 79
90 87 70 79
91 70 87 77
92 87 80 77
93 66 73 83
94 58 73 66
95 73 58 65
96 82 73 65
97 97 82 89
98 97 110 105
99 97 89 104
100 110 97 104
101 116 111 105
102 110 116 105
103 116 110 121
104 111 116 122
105 116 126 122
106 126 116 121
107 98 111 106
108 91 98 106
109 111 98 105
110 98 91 83
111 130 126 121
112 130 133 134
113 126 130 134
114 125 115 129
115 115 125 121
116 125 130 121
117 133 125 129
118 130 125 133
119 85 75 92
120 100 85 92
121 85 100 93
122 91 84 74
123 84 91 99
124 84 99 92
125 75 84 92
126 59 66 74
127 66 59 52
128 67 75 60
129 53 67 60
130 84 67 74
131 67 84 75
132 67 59 74
133 59 67 53
134 41 36 30
135 54 61 48
136 42 54 48
137 26 31 19
138 31 26 36
139 36 26 30
140 16 13 19
141 13 16 11
142 7 4 10
143 13 7 10
144 7 13 11
145 7 11 5
146 2 7 5
147 4 7 2
148 4 8 10
149 8 4 1
150 8 1 3
151 6 8 3
152 40 35 29
153 35 25 29
154 25 35 30
155 35 41 30
156 145 144 139
157 137 145 139
158 145 137 141
159 145 141 147
160 145 147 150
161 144 145 150
162 144 148 146
163 151 148 152
164 146 148 151
165 148 150 152
166 148 144 150
167 143 140 149
168 140 146 149
169 136 140 143
170 138 140 136
171 127 132 123
172 123 132 128
173 132 138 128
174 80 88 77
175 97 90 82
176 73 90 83
177 90 73 82
178 90 98 83
179 90 97 105
180 98 90 105
181 126 131 122
182 131 127 122
183 131 126 134
184 137 131 134
185 85 68 75
186 75 68 60
187 68 54 60
188 54 68 61
189 76 85 93
190 76 86 78
191 86 76 93
192 76 68 85
193 61 76 78
194 68 76 61
195 54 47 60
196 47 54 42
197 47 42 36
198 41 47 36
199 47 53 60
200 47 41 53
201 22 26 19
202 22 25 30
203 26 22 30
204 9 6 3
205 9 14 6
206 25 21 29
207 29 21 24
208 41 46 53
209 35 46 41
210 46 59 53
211 59 46 52
212 46 40 52
213 46 35 40
214 142 140 138
215 144 142 139
216 142 144 146
217 140 142 146
218 88 71 77
219 71 88 81
220 71 81 64
221 56 71 64
222 71 63 77
223 71 56 63
224 103 80 95
225 103 88 80
226 114 103 95
227 103 114 109
228 131 135 127
229 135 132 127
230 135 137 139
231 135 131 137
232 132 135 138
233 142 135 139
234 135 142 138
235 13 15 19
236 15 22 19
237 15 13 10
238 17 20 24
239 21 17 24
240 17 21 14
241 103 96 88
242 81 96 89
243 88 96 81
244 89 96 104
245 96 109 104
246 96 103 109
247 22 18 25
248 15 18 22
249 18 21 25
250 21 18 14
251 12 15 10
252 12 18 15
253 8 12 10
254 12 8 6
255 14 12 6
256 18 12 14
