            step  mean_temperature_K

  0.00000000e+00    3.98150000e+02
  1.00000000e+00    3.23150000e+02
  2.00000000e+00    3.23150000e+02
  3.00000000e+00    3.23150000e+02
  4.00000000e+00    3.23150000e+02
  5.00000000e+00    3.23150000e+02
  6.00000000e+00    3.23150000e+02
  7.00000000e+00    3.23150000e+02
  8.00000000e+00    3.23150000e+02
  9.00000000e+00    3.23150000e+02
  1.00000000e+01    3.23150000e+02
  1.10000000e+01    3.23150000e+02
  1.20000000e+01    3.23150000e+02
  1.30000000e+01    3.23150000e+02
  1.40000000e+01    3.23150000e+02
  1.50000000e+01    3.23150000e+02
  1.60000000e+01    3.23150000e+02
  1.70000000e+01    3.23150000e+02
  1.80000000e+01    3.23150000e+02
  1.90000000e+01    3.23150000e+02
  2.00000000e+01    3.23150000e+02
