            step  mean_temperature_K

  0.00000000e+00    3.98150000e+02
  1.00000000e+00    3.98098970e+02
  2.00000000e+00    3.98047940e+02
  3.00000000e+00    3.97996910e+02
  4.00000000e+00    3.97945880e+02
  5.00000000e+00    3.97894850e+02
  6.00000000e+00    3.97843820e+02
  7.00000000e+00    3.97792790e+02
  8.00000000e+00    3.97741760e+02
  9.00000000e+00    3.97690730e+02
  1.00000000e+01    3.97639700e+02
  1.10000000e+01    3.97588670e+02
  1.20000000e+01    3.97537640e+02
  1.30000000e+01    3.97486610e+02
  1.40000000e+01    3.97435580e+02
  1.50000000e+01    3.97384550e+02
  1.60000000e+01    3.97333520e+02
  1.70000000e+01    3.97282490e+02
  1.80000000e+01    3.97231460e+02
  1.90000000e+01    3.97180430e+02
  2.00000000e+01    3.97129400e+02
