# t  mean_rho  mean_p  mean_B2  mean_beta  R_xy  M_xy  alpha_SS  V_circ  mean_phi_B  divB_max
 +0.000000e+00   +9.974428e-01   +9.974423e-01   +2.000004e-02   +2.506841e+03   -1.657588e-07   +0.000000e+00   -1.661838e-07   +0.000000e+00   +1.570796e+00   +6.542490e-03
 +0.000000e+00   +9.974428e-01   +9.974423e-01   +2.000004e-02   +2.506841e+03   -1.657588e-07   +0.000000e+00   -1.661838e-07   +0.000000e+00   +1.570796e+00   +6.542490e-03
 +3.703704e-03   +9.974403e-01   +9.974380e-01   +2.000004e-02   +2.506830e+03   +4.959204e-07   +3.460849e-15   +4.971942e-07   +3.406155e-10   -1.570796e+00   +6.544179e-03
 +7.407407e-03   +9.974327e-01   +9.974250e-01   +2.000004e-02   +2.506798e+03   +1.151219e-06   +3.027177e-14   +1.154191e-06   +1.304512e-09   +1.570796e+00   +6.549151e-03
 +1.111111e-02   +9.974201e-01   +9.974033e-01   +2.000003e-02   +2.506743e+03   +1.789755e-06   +7.816693e-14   +1.794415e-06   +2.752297e-09   +1.570796e+00   +6.557466e-03
 +1.481481e-02   +9.974025e-01   +9.973730e-01   +2.000003e-02   +2.506668e+03   +2.401043e-06   +1.421590e-13   +2.407368e-06   +4.542835e-09   +1.570796e+00   +6.569492e-03
 +1.851852e-02   +9.973799e-01   +9.973343e-01   +2.000002e-02   +2.506570e+03   +2.974591e-06   +2.162277e-13   +2.982542e-06   +6.610937e-09   +1.570796e+00   +6.585895e-03
 +2.222222e-02   +9.973525e-01   +9.972871e-01   +2.000001e-02   +2.506452e+03   +3.500042e-06   +2.951691e-13   +3.509564e-06   +8.998302e-09   +1.570796e+00   +6.607456e-03
 +2.592593e-02   +9.973202e-01   +9.972317e-01   +2.000001e-02   +2.506314e+03   +3.967374e-06   +3.760861e-13   +3.978388e-06   +1.182174e-08   +1.570796e+00   +6.634749e-03
 +2.962963e-02   +9.972833e-01   +9.971682e-01   +2.000000e-02   +2.506155e+03   +4.367138e-06   +4.591533e-13   +4.379540e-06   +1.520015e-08   +1.570796e+00   +7.041662e-03
 +3.333333e-02   +9.972418e-01   +9.970969e-01   +2.000000e-02   +2.505977e+03   +4.690742e-06   +5.475358e-13   +4.704399e-06   +1.918452e-08   +1.570796e+00   +8.047591e-03
 +3.703704e-02   +9.971958e-01   +9.970180e-01   +2.000000e-02   +2.505781e+03   +4.930759e-06   +6.465351e-13   +4.945506e-06   +2.373060e-08   +1.570796e+00   +9.049762e-03
 +4.074074e-02   +9.971456e-01   +9.969318e-01   +2.000000e-02   +2.505566e+03   +5.081242e-06   +7.621324e-13   +5.096881e-06   +2.872604e-08   +1.570796e+00   +1.001688e-02
 +4.444444e-02   +9.970912e-01   +9.968385e-01   +2.000000e-02   +2.505334e+03   +5.138033e-06   +8.991491e-13   +5.154330e-06   +3.405130e-08   +1.570796e+00   +1.092410e-02
 +4.814815e-02   +9.970329e-01   +9.967385e-01   +2.000001e-02   +2.505085e+03   +5.099032e-06   +1.059354e-12   +5.115718e-06   +3.963666e-08   +1.570796e+00   +1.175581e-02
 +5.185185e-02   +9.969709e-01   +9.966320e-01   +2.000002e-02   +2.504822e+03   +4.964413e-06   +1.240038e-12   +4.981190e-06   +4.548423e-08   +1.570796e+00   +1.250690e-02
 +5.555556e-02   +9.969054e-01   +9.965196e-01   +2.000004e-02   +2.504543e+03   +4.736759e-06   +1.433694e-12   +4.753304e-06   +5.164817e-08   +1.570796e+00   +1.318276e-02
 +5.925926e-02   +9.968366e-01   +9.964015e-01   +2.000006e-02   +2.504252e+03   +4.421100e-06   +1.629289e-12   +4.437069e-06   +5.819152e-08   +1.570796e+00   +1.379783e-02
 +6.296296e-02   +9.967647e-01   +9.962783e-01   +2.000009e-02   +2.503948e+03   +4.024831e-06   +1.815060e-12   +4.039869e-06   +6.514855e-08   +1.570796e+00   +1.437321e-02
 +6.666667e-02   +9.966900e-01   +9.961502e-01   +2.000011e-02   +2.503633e+03   +3.557513e-06   +1.982063e-12   +3.571263e-06   +7.251300e-08   +1.570796e+00   +1.493359e-02
 +7.037037e-02   +9.966128e-01   +9.960178e-01   +2.000015e-02   +2.503308e+03   +3.030550e-06   +2.127155e-12   +3.042668e-06   +8.025309e-08   +1.570796e+00   +1.550411e-02
 +7.407407e-02   +9.965333e-01   +9.958815e-01   +2.000018e-02   +2.502975e+03   +2.456763e-06   +2.254209e-12   +2.466926e-06   +8.833718e-08   +1.570796e+00   +1.610736e-02
 +7.777778e-02   +9.964518e-01   +9.957418e-01   +2.000022e-02   +2.502634e+03   +1.849867e-06   +2.373100e-12   +1.857780e-06   +9.675058e-08   +1.570796e+00   +1.676104e-02
 +8.148148e-02   +9.963686e-01   +9.955992e-01   +2.000026e-02   +2.502287e+03   +1.223870e-06   +2.497024e-12   +1.229282e-06   +1.054936e-07   +1.570796e+00   +1.747639e-02
 +8.518519e-02   +9.962839e-01   +9.954542e-01   +2.000030e-02   +2.501935e+03   +5.924384e-07   +2.639403e-12   +5.951465e-07   +1.145662e-07   +1.570796e+00   +1.825752e-02
 +8.888889e-02   +9.961981e-01   +9.953072e-01   +2.000033e-02   +2.501579e+03   -3.176368e-08   +2.811590e-12   -3.191061e-08   +1.239531e-07   +1.570796e+00   +1.910152e-02
 +9.259259e-02   +9.961114e-01   +9.951588e-01   +2.000037e-02   +2.501220e+03   -6.377097e-07   +3.021812e-12   -6.408090e-07   +1.336227e-07   +1.570796e+00   +1.999939e-02
 +9.629630e-02   +9.960242e-01   +9.950093e-01   +2.000041e-02   +2.500860e+03   -1.216591e-06   +3.274907e-12   -1.222690e-06   +1.435406e-07   +1.570796e+00   +2.093735e-02
 +1.000000e-01   +9.959366e-01   +9.948594e-01   +2.000045e-02   +2.500499e+03   -1.762302e-06   +3.572029e-12   -1.771404e-06   +1.536891e-07   +1.570796e+00   +2.189852e-02
 +1.037037e-01   +9.958490e-01   +9.947094e-01   +2.000048e-02   +2.500139e+03   -2.271798e-06   +3.909862e-12   -2.283877e-06   +1.640804e-07   +1.570796e+00   +2.286468e-02
 +1.074074e-01   +9.957617e-01   +9.945599e-01   +2.000051e-02   +2.499781e+03   -2.745304e-06   +4.279766e-12   -2.760316e-06   +1.747558e-07   +1.570796e+00   +2.381789e-02
 +1.111111e-01   +9.956749e-01   +9.944112e-01   +2.000054e-02   +2.499426e+03   -3.186356e-06   +4.667917e-12   -3.204259e-06   +1.857726e-07   +1.570796e+00   +2.474202e-02
 +1.148148e-01   +9.955888e-01   +9.942639e-01   +2.000057e-02   +2.499074e+03   -3.601672e-06   +5.057342e-12   -3.622446e-06   +1.971888e-07   +1.570796e+00   +2.562385e-02
 +1.185185e-01   +9.955038e-01   +9.941183e-01   +2.000059e-02   +2.498727e+03   -4.000856e-06   +5.431796e-12   -4.024522e-06   +2.090531e-07   +1.570796e+00   +2.645404e-02
 +1.222222e-01   +9.954201e-01   +9.939749e-01   +2.000061e-02   +2.498385e+03   -4.395941e-06   +5.780235e-12   -4.422582e-06   +2.214034e-07   +1.570796e+00   +2.722768e-02
