# B2  M_xy  beta  p  rho  v2
  1.930225e-02  -6.228315e-06   2.608606e+03   1.001721e+00   1.000673e+00   1.420006e-01
  1.955034e-02   1.663472e-06   2.564542e+03   9.974573e-01   9.972403e-01   1.302523e-01
  1.966795e-02   1.080292e-06   2.542890e+03   9.949856e-01   9.966265e-01   1.310485e-01
  2.023940e-02   6.467908e-06   2.467839e+03   9.936756e-01   9.963670e-01   1.330206e-01
  2.011082e-02   1.051362e-05   2.479052e+03   9.918493e-01   9.954439e-01   1.327260e-01
  2.024642e-02   1.100386e-05   2.462910e+03   9.920351e-01   9.951431e-01   1.342356e-01
  2.020521e-02   6.504971e-06   2.465726e+03   9.911478e-01   9.937134e-01   1.347127e-01
  1.776927e-02   7.222660e-06   2.805879e+03   9.919019e-01   9.909825e-01   1.291259e-01
  1.817549e-02   2.588843e-05   2.751213e+03   9.948109e-01   9.943583e-01   1.347865e-01
  2.008773e-02   1.343761e-05   2.485010e+03   9.930914e-01   9.947413e-01   1.336516e-01
  2.016715e-02   1.172970e-05   2.468192e+03   9.902701e-01   9.939496e-01   1.334100e-01
  2.020750e-02   2.591045e-06   2.462657e+03   9.900263e-01   9.940423e-01   1.338210e-01
  2.029205e-02   1.784735e-06   2.452048e+03   9.898856e-01   9.944436e-01   1.337325e-01
  2.040622e-02   2.917552e-06   2.440389e+03   9.907218e-01   9.945081e-01   1.340800e-01
  2.021369e-02   5.274743e-06   2.466466e+03   9.918612e-01   9.942996e-01   1.342741e-01
  1.895414e-02   6.720101e-06   2.639575e+03   9.953322e-01   9.949046e-01   1.326767e-01
  1.894900e-02   2.404208e-05   2.652635e+03   9.999859e-01   9.998037e-01   1.439045e-01
  1.954445e-02   9.198976e-06   2.562637e+03   9.964162e-01   9.966563e-01   1.307815e-01
  1.978327e-02   1.078094e-05   2.525837e+03   9.941079e-01   9.960592e-01   1.315623e-01
  2.021328e-02  -1.447513e-06   2.467336e+03   9.921907e-01   9.954797e-01   1.330821e-01
  2.026368e-02  -5.669376e-06   2.457781e+03   9.908127e-01   9.948387e-01   1.329194e-01
  2.027163e-02  -1.250329e-05   2.458743e+03   9.915895e-01   9.947807e-01   1.341418e-01
  2.013284e-02  -1.274189e-05   2.475775e+03   9.916227e-01   9.939525e-01   1.346156e-01
  1.757052e-02  -7.490100e-06   2.838875e+03   9.923412e-01   9.913948e-01   1.280854e-01
  2.040052e-02   3.498400e-06   2.455202e+03   9.964568e-01   9.966626e-01   1.381275e-01
  2.012154e-02  -6.571888e-06   2.481518e+03   9.933651e-01   9.950969e-01   1.333669e-01
  2.016068e-02  -4.016060e-06   2.470352e+03   9.908188e-01   9.944980e-01   1.336465e-01
  2.023247e-02  -3.904731e-06   2.460841e+03   9.905189e-01   9.945123e-01   1.334685e-01
  2.007704e-02  -1.441868e-06   2.475903e+03   9.889255e-01   9.934944e-01   1.336183e-01
  2.009773e-02  -1.153253e-07   2.476891e+03   9.903394e-01   9.939398e-01   1.336769e-01
  2.003213e-02  -3.123891e-06   2.486860e+03   9.910800e-01   9.936449e-01   1.339481e-01
  1.779388e-02   4.539717e-06   2.807817e+03   9.939617e-01   9.931751e-01   1.329929e-01
  1.882175e-02  -8.162565e-06   2.663157e+03   9.972105e-01   9.979164e-01   1.440347e-01
  1.970285e-02  -1.697511e-05   2.537105e+03   9.944836e-01   9.956084e-01   1.322523e-01
  2.002199e-02  -1.876483e-05   2.491497e+03   9.924248e-01   9.951226e-01   1.329280e-01
  2.031171e-02  -1.492811e-05   2.451709e+03   9.907074e-01   9.945829e-01   1.338287e-01
  2.016407e-02  -1.107766e-05   2.469220e+03   9.905311e-01   9.942865e-01   1.332938e-01
  2.004134e-02  -7.874787e-06   2.484994e+03   9.907915e-01   9.940572e-01   1.331157e-01
  2.005783e-02  -4.157834e-06   2.484098e+03   9.912490e-01   9.936812e-01   1.334333e-01
  1.775575e-02  -8.665799e-06   2.809359e+03   9.923764e-01   9.926714e-01   1.307659e-01
  2.177527e-02   1.305034e-05   2.299104e+03   9.959840e-01   9.978265e-01   1.422786e-01
  2.013009e-02   1.933126e-05   2.479635e+03   9.930331e-01   9.951900e-01   1.335894e-01
  2.030421e-02   1.523855e-05   2.455103e+03   9.917127e-01   9.952697e-01   1.341758e-01
  2.011952e-02   1.209600e-05   2.476070e+03   9.910847e-01   9.948931e-01   1.335392e-01
  2.018690e-02   8.128595e-06   2.463717e+03   9.894426e-01   9.939047e-01   1.335110e-01
  1.982402e-02   6.489925e-06   2.512707e+03   9.909776e-01   9.939638e-01   1.329480e-01
  1.981752e-02   7.909549e-06   2.516223e+03   9.920383e-01   9.940493e-01   1.335160e-01
  1.728860e-02  -7.050517e-06   2.893484e+03   9.952013e-01   9.937681e-01   1.324680e-01
  1.836804e-02   6.745338e-05   2.722693e+03   9.949277e-01   9.961031e-01   1.422691e-01
  1.987843e-02   3.416344e-05   2.509721e+03   9.925165e-01   9.947850e-01   1.339685e-01
  2.003237e-02   3.519804e-05   2.485760e+03   9.906534e-01   9.943820e-01   1.343666e-01
  2.025679e-02   2.008351e-05   2.456269e+03   9.898667e-01   9.944452e-01   1.345477e-01
  2.028454e-02   1.478173e-05   2.455474e+03   9.909020e-01   9.949456e-01   1.337513e-01
  2.011717e-02   6.035849e-06   2.477730e+03   9.916329e-01   9.948967e-01   1.324855e-01
  2.005991e-02  -8.248264e-07   2.485282e+03   9.918246e-01   9.940458e-01   1.323274e-01
  1.851292e-02   8.580013e-06   2.697919e+03   9.936512e-01   9.940472e-01   1.353544e-01
  2.292839e-02   1.709726e-05   2.183684e+03   9.960781e-01   9.989180e-01   1.446608e-01
  2.014860e-02  -1.512713e-05   2.476325e+03   9.926190e-01   9.949220e-01   1.328432e-01
  2.025622e-02  -1.138292e-05   2.460941e+03   9.917214e-01   9.953431e-01   1.336023e-01
  2.007271e-02  -1.459996e-05   2.483192e+03   9.916227e-01   9.950777e-01   1.329862e-01
  2.012353e-02  -9.394446e-06   2.472299e+03   9.897722e-01   9.940837e-01   1.332953e-01
  1.992735e-02  -5.673136e-06   2.499901e+03   9.910662e-01   9.939914e-01   1.318826e-01
  1.974920e-02  -2.537797e-06   2.526281e+03   9.925703e-01   9.942977e-01   1.328302e-01
  1.729320e-02  -3.916636e-07   2.893605e+03   9.955080e-01   9.944837e-01   1.344772e-01
  1.821477e-02  -2.186515e-05   2.736250e+03   9.915385e-01   9.929436e-01   1.369386e-01
  2.014270e-02  -2.997340e-05   2.469324e+03   9.895229e-01   9.931312e-01   1.350847e-01
  2.019546e-02  -3.061071e-05   2.461125e+03   9.888205e-01   9.934313e-01   1.355203e-01
  2.042063e-02  -2.626099e-05   2.434571e+03   9.890577e-01   9.940699e-01   1.351070e-01
  2.028197e-02  -1.939889e-05   2.456337e+03   9.911247e-01   9.949119e-01   1.341316e-01
  2.006790e-02  -1.540017e-05   2.487025e+03   9.929154e-01   9.956376e-01   1.328295e-01
  1.992542e-02  -9.223527e-06   2.506489e+03   9.935810e-01   9.951370e-01   1.323626e-01
  1.891548e-02   2.467218e-06   2.645652e+03   9.955894e-01   9.963369e-01   1.394646e-01
  2.245198e-02  -8.931387e-06   2.230699e+03   9.963817e-01   9.988532e-01   1.436706e-01
  2.000685e-02   8.234603e-06   2.492982e+03   9.922660e-01   9.945872e-01   1.321093e-01
  2.022547e-02   7.167924e-06   2.462342e+03   9.907795e-01   9.945940e-01   1.327248e-01
  2.007511e-02   1.296885e-05   2.482149e+03   9.913249e-01   9.950474e-01   1.326182e-01
  2.017664e-02   9.851317e-06   2.466362e+03   9.900014e-01   9.942410e-01   1.332925e-01
  1.995232e-02   6.082482e-06   2.498388e+03   9.917068e-01   9.944973e-01   1.318482e-01
  1.983797e-02   1.261828e-06   2.515605e+03   9.928186e-01   9.945561e-01   1.322991e-01
  1.844320e-02  -2.018481e-05   2.715968e+03   9.965316e-01   9.958641e-01   1.366087e-01
  1.887514e-02   5.163406e-05   2.641343e+03   9.918478e-01   9.929041e-01   1.342335e-01
  2.031482e-02   2.903935e-05   2.449428e+03   9.899378e-01   9.934818e-01   1.358596e-01
  2.049925e-02   2.623771e-05   2.425760e+03   9.892723e-01   9.937334e-01   1.356706e-01
  2.037544e-02   1.943935e-05   2.439123e+03   9.887144e-01   9.940448e-01   1.347535e-01
  2.032105e-02   9.273181e-06   2.450559e+03   9.906983e-01   9.947520e-01   1.333319e-01
  1.992892e-02   6.462568e-06   2.504400e+03   9.929280e-01   9.955010e-01   1.325377e-01
  2.001039e-02   5.542922e-07   2.499284e+03   9.949502e-01   9.959123e-01   1.324507e-01
  1.872240e-02   1.213418e-05   2.673615e+03   9.958424e-01   9.963597e-01   1.416676e-01
  2.100374e-02   1.601048e-05   2.378674e+03   9.939436e-01   9.961185e-01   1.425050e-01
  1.978629e-02  -1.698549e-06   2.518289e+03   9.912887e-01   9.936340e-01   1.321045e-01
  2.003716e-02  -1.579694e-06   2.482183e+03   9.894643e-01   9.935407e-01   1.329205e-01
