# 再电离历史模拟结果
# 场景: pop2_standard
# 列: z  mean_xHII  tau_eff
20.000000  1.00000000e-06  0.00000000e+00
19.818750  6.18175315e-03  1.61161903e-07
19.637500  1.26209671e-02  4.88804847e-07
19.456250  1.93300405e-02  9.88474099e-07
19.275000  2.63208166e-02  1.66592034e-06
19.093750  3.36055869e-02  2.52710493e-06
18.912500  4.11970925e-02  3.57820482e-06
18.731250  4.91085218e-02  4.82561713e-06
18.550000  5.73535052e-02  6.27596321e-06
18.368750  6.59461049e-02  7.93609212e-06
18.187500  7.49008001e-02  9.81308337e-06
18.006250  8.42324658e-02  1.19142488e-05
17.825000  9.39563448e-02  1.42471335e-05
17.643750  1.04088012e-01  1.68195152e-05
17.462500  1.14643331e-01  1.96394029e-05
17.281250  1.25638393e-01  2.27150332e-05
17.100000  1.37089457e-01  2.60548646e-05
16.918750  1.49012862e-01  2.96675707e-05
16.737500  1.61424934e-01  3.35620294e-05
16.556250  1.74341869e-01  3.77473104e-05
16.375000  1.87779601e-01  4.22326585e-05
16.193750  2.01753644e-01  4.70274741e-05
16.012500  2.16278916e-01  5.21412887e-05
15.831250  2.31369524e-01  5.75837363e-05
15.650000  2.47038535e-01  6.33645192e-05
15.468750  2.63297701e-01  6.94933684e-05
15.287500  2.80157159e-01  7.59799971e-05
15.106250  2.97625084e-01  8.28340477e-05
14.925000  3.15707316e-01  9.00650306e-05
14.743750  3.34406927e-01  9.76822553e-05
14.562500  3.53723766e-01  1.05694752e-04
14.381250  3.73653945e-01  1.14111184e-04
14.200000  3.94189291e-01  1.22939750e-04
14.018750  4.15316758e-01  1.32188076e-04
13.837500  4.37017807e-01  1.41863097e-04
13.656250  4.59267753e-01  1.51970926e-04
13.475000  4.82035101e-01  1.62516715e-04
13.293750  5.05280879e-01  1.73504505e-04
13.112500  5.28957985e-01  1.84937067e-04
12.931250  5.53010580e-01  1.96815735e-04
12.750000  5.77373545e-01  2.09140235e-04
12.568750  6.01972049e-01  2.21908507e-04
12.387500  6.26721267e-01  2.35116537e-04
12.206250  6.51526288e-01  2.48758184e-04
12.025000  6.76282289e-01  2.62825028e-04
11.843750  7.00875011e-01  2.77306225e-04
11.662500  7.25181610e-01  2.92188398e-04
11.481250  7.49071946e-01  3.07455550e-04
11.300000  7.72410351e-01  3.23089032e-04
11.118750  7.95057926e-01  3.39067550e-04
10.937500  8.16875378e-01  3.55367239e-04
10.756250  8.37726377e-01  3.71961804e-04
10.575000  8.57245054e-01  3.88616426e-04
10.393750  8.74894912e-01  4.04839840e-04
10.212500  8.90788116e-01  4.20594094e-04
10.031250  9.05037997e-01  4.35848578e-04
9.850000  9.17758155e-01  4.50579360e-04
9.668750  9.29061570e-01  4.64768533e-04
9.487500  9.39059726e-01  4.78403597e-04
9.306250  9.47861774e-01  4.91476869e-04
9.125000  9.55573742e-01  5.03984918e-04
8.943750  9.62297822e-01  5.15928043e-04
8.762500  9.68131736e-01  5.27309776e-04
8.581250  9.73168203e-01  5.38136434e-04
8.400000  9.77494511e-01  5.48416697e-04
8.218750  9.81192204e-01  5.58161229e-04
8.037500  9.84336877e-01  5.67382340e-04
7.856250  9.86998082e-01  5.76093672e-04
7.675000  9.89239335e-01  5.84309936e-04
7.493750  9.91118208e-01  5.92046662e-04
7.312500  9.92686498e-01  5.99320003e-04
7.131250  9.93990447e-01  6.06146541e-04
6.950000  9.95071010e-01  6.12543144e-04
6.768750  9.95964150e-01  6.18526825e-04
6.587500  9.96701147e-01  6.24114637e-04
6.406250  9.97308921e-01  6.29323575e-04
6.225000  9.97810365e-01  6.34170502e-04
6.043750  9.98224679e-01  6.38672084e-04
5.862500  9.98567732e-01  6.42844741e-04
5.681250  9.98852417e-01  6.46704603e-04
5.500000  9.99089036e-01  6.50267479e-04
