# 最终电离分数分布
# 列: cell_index  xHII
0  9.99999990e-01
1  9.46351341e-01
2  9.99965846e-01
3  9.99999990e-01
4  9.99997140e-01
5  9.99999990e-01
6  9.99999990e-01
7  9.99999990e-01
8  9.99999982e-01
9  9.99999830e-01
10  9.99999990e-01
11  9.99999847e-01
12  9.99999201e-01
13  9.99833681e-01
14  9.99999990e-01
15  9.99999990e-01
16  9.99993126e-01
17  9.99999725e-01
18  9.99915361e-01
19  9.99863285e-01
20  9.99999990e-01
21  9.99994002e-01
22  9.99999990e-01
23  9.99999985e-01
24  9.99999990e-01
25  9.99997193e-01
26  9.99999990e-01
27  9.99999990e-01
28  9.99999990e-01
29  9.99971168e-01
30  9.99999888e-01
31  9.99999974e-01
32  9.99982393e-01
33  9.99999990e-01
34  9.99999990e-01
35  9.99256505e-01
36  9.99999723e-01
37  9.99999633e-01
38  9.99999990e-01
39  9.99925168e-01
40  9.99999990e-01
41  9.99998890e-01
42  9.99961161e-01
43  9.99383613e-01
44  9.99999990e-01
45  9.97956609e-01
46  9.99999990e-01
47  9.99939768e-01
48  9.99999990e-01
49  9.99471807e-01
50  9.99999990e-01
51  9.99999095e-01
52  9.99999990e-01
53  9.99999924e-01
54  9.99998387e-01
55  9.99999990e-01
56  9.99999990e-01
57  9.99999990e-01
58  9.99991192e-01
59  9.99954179e-01
60  9.99999990e-01
61  9.99999990e-01
62  9.99999990e-01
63  9.99999950e-01
