# Spin Glass MC Results T=1.50
# Columns: sweep  energy_density  magnetization_density  overlap  overlap_squared
     0      -1.26993823       0.03125000       0.40625000       0.16503906
     1      -1.42951587       0.15625000       0.34375000       0.11816406
     2      -1.26375947       0.06250000       0.34375000       0.11816406
     3      -1.26257095       0.06250000       0.43750000       0.19140625
     4      -1.22495644       0.09375000       0.46875000       0.21972656
     5      -1.37150587       0.15625000       0.46875000       0.21972656
     6      -1.43962367       0.06250000       0.40625000       0.16503906
     7      -1.39095590       0.09375000       0.43750000       0.19140625
     8      -1.42651799       0.12500000       0.31250000       0.09765625
     9      -1.37199460       0.18750000       0.37500000       0.14062500
    10      -1.48544593       0.06250000       0.40625000       0.16503906
    11      -1.33995555       0.03125000       0.06250000       0.00390625
    12      -1.30718238       0.00000000       0.25000000       0.06250000
    13      -1.38871785       0.15625000       0.15625000       0.02441406
    14      -1.21796710       0.00000000       0.25000000       0.06250000
    15      -1.37579515       0.12500000       0.37500000       0.14062500
    16      -1.23049556       0.18750000       0.46875000       0.21972656
    17      -1.38651019       0.12500000       0.34375000       0.11816406
    18      -1.44409097       0.09375000       0.65625000       0.43066406
    19      -1.24530715       0.18750000       0.43750000       0.19140625
    20      -1.19209768       0.09375000       0.43750000       0.19140625
    21      -1.37740053       0.00000000       0.40625000       0.16503906
    22      -1.40631690       0.15625000       0.56250000       0.31640625
    23      -1.31664932       0.06250000       0.59375000       0.35253906
    24      -1.39207420       0.09375000       0.71875000       0.51660156
    25      -1.31599294       0.06250000       0.53125000       0.28222656
    26      -1.19861345       0.09375000       0.56250000       0.31640625
    27      -1.19439214       0.06250000       0.34375000       0.11816406
    28      -1.23740436       0.09375000       0.15625000       0.02441406
    29      -0.95859387       0.15625000       0.40625000       0.16503906
    30      -1.20606218       0.21875000       0.28125000       0.07910156
    31      -1.26126006       0.06250000       0.43750000       0.19140625
    32      -1.35944426       0.00000000       0.62500000       0.39062500
    33      -1.34462531       0.03125000       0.46875000       0.21972656
    34      -1.15589385       0.15625000       0.40625000       0.16503906
    35      -1.35008793       0.12500000       0.37500000       0.14062500
    36      -1.23502064       0.09375000       0.28125000       0.07910156
    37      -1.11932116       0.03125000       0.34375000       0.11816406
    38      -1.21269095       0.09375000       0.53125000       0.28222656
    39      -1.40836213       0.18750000       0.65625000       0.43066406
    40      -1.38192454       0.15625000       0.28125000       0.07910156
    41      -1.33423158       0.21875000       0.28125000       0.07910156
    42      -1.42779492       0.03125000       0.53125000       0.28222656
