# Replica Exchange (Parallel Tempering) Results
# 
# Number of replicas R = 6
# Overall exchange ratio = 0.7751
#
# Temperatures:
#   T[0] = 0.5310  (beta = 1.8832)
#   T[1] = 0.6099  (beta = 1.6395)
#   T[2] = 0.7228  (beta = 1.3835)
#   T[3] = 0.8998  (beta = 1.1113)
#   T[4] = 1.2263  (beta = 0.8154)
#   T[5] = 2.0915  (beta = 0.4781)
#
# Exchange rate per round:
     0  0.6667
     1  0.3333
     2  0.6667
     3  0.5000
     4  1.0000
     5  0.5000
     6  1.0000
     7  0.6667
     8  1.0000
     9  1.0000
    10  1.0000
    11  0.5000
    12  0.5000
    13  0.6667
    14  0.3333
    15  1.0000
    16  0.6667
    17  0.5000
    18  0.6667
    19  0.6667
    20  1.0000
    21  0.6667
    22  1.0000
    23  1.0000
    24  1.0000
    25  1.0000
    26  0.6667
    27  1.0000
    28  0.6667
    29  1.0000
    30  0.6667
    31  0.6667
    32  0.6667
    33  1.0000
    34  1.0000
    35  1.0000
    36  1.0000
    37  0.5000
    38  1.0000
    39  1.0000
    40  0.5000
    41  0.0000
    42  0.6667
    43  1.0000
    44  0.0000
    45  1.0000
    46  1.0000
    47  0.6667
    48  1.0000
    49  1.0000
    50  0.6667
    51  1.0000
    52  0.0000
    53  1.0000
    54  1.0000
    55  1.0000
    56  1.0000
    57  1.0000
    58  0.6667
    59  0.6667
    60  1.0000
    61  1.0000
    62  0.6667
    63  0.3333
    64  0.5000
    65  1.0000
    66  1.0000
    67  1.0000
    68  0.5000
    69  1.0000
    70  0.5000
    71  0.5000
    72  1.0000
    73  1.0000
    74  1.0000
    75  0.5000
    76  1.0000
    77  1.0000
    78  0.6667
    79  1.0000
    80  0.6667
    81  0.0000
    82  1.0000
    83  0.3333
    84  1.0000
    85  1.0000
    86  1.0000
    87  0.6667
    88  1.0000
    89  0.5000
    90  0.6667
    91  1.0000
    92  1.0000
    93  0.6667
    94  0.5000
    95  0.6667
    96  1.0000
    97  1.0000
    98  1.0000
    99  1.0000

# Energy per replica (last 10 rounds):
# round  T=0.53  T=0.61  T=0.72  T=0.90  T=1.23  T=2.09
    90     -1.3174     -1.5060     -1.4525     -1.3460     -1.5101     -0.9319
    91     -1.3513     -1.4889     -1.3758     -1.4624     -1.2466     -1.1030
    92     -1.3409     -1.3572     -1.4590     -1.3649     -1.3077     -1.0852
    93     -1.3666     -1.3413     -1.3798     -1.4786     -1.4372     -0.9439
    94     -1.3273     -1.2813     -1.4121     -1.4220     -1.4225     -1.2180
    95     -1.3345     -1.3627     -1.4243     -1.4384     -1.4075     -1.0035
    96     -1.3577     -1.3508     -1.4804     -1.3943     -1.0647     -0.9316
    97     -1.3899     -1.3323     -1.4732     -1.3960     -1.3883     -1.1995
    98     -1.3527     -1.3336     -1.4821     -1.4466     -1.4217     -1.0337
    99     -1.3663     -1.3287     -1.4185     -1.4390     -1.4139     -0.7822
