# WHAM (Weighted Histogram Analysis Method) Results
#
# Converged: True
# Iterations: 33
#
# Window free energies F_j:
#   F[0] = 8.41258820
#   F[1] = 3.90052103
#   F[2] = 1.12288287
#   F[3] = 0.08976182
#   F[4] = 0.85723857
#   F[5] = 3.45572869
#   F[6] = 7.86350992
#
# q_center  P(q)  free_energy_F(q)
 -1.025000  2.00000000e-299     689.62609936
 -0.975000  2.00000000e-299     689.62609936
 -0.925000  2.00000000e-299     689.62609936
 -0.875000  2.00000000e-299     689.62609936
 -0.825000  2.00000000e-299     689.62609936
 -0.775000  2.00000000e-299     689.62609936
 -0.725000  2.00000000e-299     689.62609936
 -0.675000  2.00000000e-299     689.62609936
 -0.625000  2.00000000e-299     689.62609936
 -0.575000  2.00000000e-299     689.62609936
 -0.525000  2.00000000e-299     689.62609936
 -0.475000  2.00000000e-299     689.62609936
 -0.425000  2.00000000e-299     689.62609936
 -0.375000  2.00000000e-299     689.62609936
 -0.325000  2.00000000e-299     689.62609936
 -0.275000   5.69014970e-03       7.01532245
 -0.225000   6.51751686e-02       4.57698046
 -0.175000   5.02889251e-01       2.53368904
 -0.125000   7.67777191e-01       2.11055944
 -0.075000   2.72352003e+00       0.84437856
 -0.025000   2.61973744e+00       0.88322963
  0.025000   6.33635532e+00       0.00000000
  0.075000   4.67916277e+00       0.30318453
  0.125000   1.39682905e+00       1.51209903
  0.175000   7.82260104e-01       2.09187171
  0.225000   8.34478937e-02       4.32983660
  0.275000   3.09344583e-02       5.32218829
  0.325000   6.22117376e-03       6.92610042
  0.375000  2.00000000e-299     689.62609936
  0.425000  2.00000000e-299     689.62609936
  0.475000  2.00000000e-299     689.62609936
  0.525000  2.00000000e-299     689.62609936
  0.575000  2.00000000e-299     689.62609936
  0.625000  2.00000000e-299     689.62609936
  0.675000  2.00000000e-299     689.62609936
  0.725000  2.00000000e-299     689.62609936
  0.775000  2.00000000e-299     689.62609936
  0.825000  2.00000000e-299     689.62609936
  0.875000  2.00000000e-299     689.62609936
  0.925000  2.00000000e-299     689.62609936
  0.975000  2.00000000e-299     689.62609936
  1.025000  2.00000000e-299     689.62609936
